"Nom usuel de l'installation","Numéro de l'installation","Nom de la commune","Code INSEE","Code postal","Nom du lieu dit","Numero de la voie","Nom de la voie","location","Longitude","Latitude","Aucun aménagement d'accessibilité","Accessibilité handicapés à mobilité réduite","Accessibilité handicapés sensoriels","Emprise foncière en m2","Gardiennée avec ou sans logement de gardien","Multi commune","Présence d'un internet","Nombre de couvert ","Nombre de lit","Nombre total de place de parking","Nombre total de place de parking handicapés","Installation particulière","Desserte métro","Desserte bus","Desserte Tram","Desserte train","Desserte bateau","Desserte autre","Nombre total d'équipements sportifs","Nombre total de fiches équipements","Date de création de la fiche installation","Date de mise à jour de la fiche installation"
"Plan D'Eau","531080002","Gravelle","53108","53410","","","Route De Montjean","[ 48.072433 , -1.01614]","-1.01614","48.072433","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2013-06-13 00:00:00.000"
"Terrain De Football","531090001","Grazay","53109","53440","","","Route De Bais","[ 48.289822 , -0.482621]","-0.482621","48.289822","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","2","2","2005-08-02 00:00:00.000","2013-06-20 00:00:00.000"
"Plaine De Jeux","531090002","Grazay","53109","53440","","","Le Bourg","[ 48.289822 , -0.482621]","-0.482621","48.289822","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","2","2","2005-08-02 00:00:00.000","2013-06-20 00:00:00.000"
"Stade Edouard Reillon","531100001","Grez-en-Bouère","53110","53290","","","Route De Chateau Gontier","[ 47.874025 , -0.523302]","-0.523302","47.874025","Non","Oui","Non","27437","Non","Non","Non","0","0","80","0","Complexe sportif","Non","Oui","Non","Non","Non","Oui","7","7","2005-08-02 00:00:00.000","2014-10-14 00:00:00.000"
"Collège Grand Champ","531100002","Grez-en-Bouère","53110","53290","","","Route De Ruillé","[ 47.874025 , -0.523302]","-0.523302","47.874025","Non","Oui","Non","21810","Non","Non","Non","0","0","24","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","2","2","2005-10-11 00:00:00.000","2014-10-14 00:00:00.000"
"Terrain De Pétanque","531100003","Grez-en-Bouère","53110","53290","","","Route De Sablé-Sur-Sarthe- Parc Des Cerisiers","[ 47.874025 , -0.523302]","-0.523302","47.874025","Non","Oui","Non","336","Non","Non","Non","0","0","10","0"," Non","Non","Oui","Non","Non","Non","Non","2","1","2005-10-11 00:00:00.000","2014-10-14 00:00:00.000"
"Piste De Bicross","531100004","Grez-en-Bouère","53110","53290","","","Lotissement Bel Et Bas","[ 47.874025 , -0.523302]","-0.523302","47.874025","Non","Oui","Non","248","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-10-11 00:00:00.000","2014-10-14 00:00:00.000"
"Circuit De Randonnée","531100005","Grez-en-Bouère","53110","53290","","","Place De L'Église","[ 47.874025 , -0.523302]","-0.523302","47.874025","Oui","Non","Non","NULL","Non","Oui","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2010-10-21 00:00:00.000","2014-10-14 00:00:00.000"
"Salle Polyvalente","531100008","Grez-en-Bouère","53110","53290","","","Rue De Taude","[ 47.874025 , -0.523302]","-0.523302","47.874025","Non","Oui","Non","NULL","Non","Non","Non","0","0","50","1"," Non","Non","Non","Non","Non","Non","Non","1","1","2012-06-15 00:00:00.000","2014-10-14 00:00:00.000"
"Ecole Publique Levrot","531100009","Grez-en-Bouère","53110","53290","","","Rue Des Écoles","[ 47.874025 , -0.523302]","-0.523302","47.874025","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","1","1","2014-10-14 00:00:00.000","NULL"
"Ecole Privée Saint Jean Baptiste","531100010","Grez-en-Bouère","53110","53290","","","Route De Villebois Mareuil","[ 47.874025 , -0.523302]","-0.523302","47.874025","Non","Oui","Non","0","Non","Non","NULL","0","0","0","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","1","1","2014-10-14 00:00:00.000","NULL"
"Salle Communale","531110001","Haie-Traversaine","53111","53300","","","Place Des Combattants De Laliberté","[ 48.368651 , -0.607038]","-0.607038","48.368651","Oui","Non","Non","679","Non","Non","Non","0","0","10","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2013-07-05 00:00:00.000"
"Terrain De Football","531110002","Haie-Traversaine","53111","53300","Bray","","","[ 48.368651 , -0.607038]","-0.607038","48.368651","Non","Oui","Non","16150","Non","Non","Non","0","0","50","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2013-07-05 00:00:00.000"
"Base De Voile","531110003","Haie-Traversaine","53111","53300","Plan D'Eau","","","[ 48.368651 , -0.607038]","-0.607038","48.368651","Non","Oui","Non","15529","Avec logement de gardien","Non","Non","0","15","60","0","Base de plein air et/ou de loisirs","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2013-07-05 00:00:00.000"
"Terrain De Football","531120001","Ham","53112","53250","Butte Des Avenrys","","","[ 48.379543 , -0.37807]","-0.37807","48.379543","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","3","3","2005-08-02 00:00:00.000","2013-07-08 00:00:00.000"
"Ecole Primaire Publique","531120002","Ham","53112","53250","","8","Rue De La Grotte","[ 48.379543 , -0.37807]","-0.37807","48.379543","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2013-07-08 00:00:00.000"
"Salle Polyvalente","531120003","Ham","53112","53250","","","Rue Du Vieux Presbitaire","[ 48.379543 , -0.37807]","-0.37807","48.379543","Non","Oui","Non","180","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","2","2","2005-10-28 00:00:00.000","2013-07-08 00:00:00.000"
"Circuit De Randonnée","531120004","Ham","53112","53250","","","Place De L'Église","[ 48.379543 , -0.37807]","-0.37807","48.379543","Non","Oui","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-10-28 00:00:00.000","2013-07-08 00:00:00.000"
"Centre D'Hébergement Du Bois Du Tay","531130002","Hambers","53113","53160","Bois Du Tay","","","[ 48.25355 , -0.4187]","-0.4187","48.25355","Non","Oui","Non","NULL","Avec logement de gardien","Oui","Oui","100","83","0","0"," Non","Non","Non","Non","Non","Non","Oui","2","2","2005-08-02 00:00:00.000","2013-05-28 00:00:00.000"
"Terrain Des Sports","531130003","Hambers","53113","53160","","","Le Bourg","[ 48.25355 , -0.4187]","-0.4187","48.25355","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","2","2","2005-08-02 00:00:00.000","2013-05-28 00:00:00.000"
"Salle Des Fêtes","531130004","Hambers","53113","53160","","","Rue Jean Louis Bernard","[ 48.25355 , -0.4187]","-0.4187","48.25355","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-10-27 00:00:00.000","2013-05-28 00:00:00.000"
"Motocross Des Découvertes","531140001","Hardanges","53114","53640","Les Découvertes","","","[ 48.33579 , -0.402788]","-0.402788","48.33579","Oui","Non","Non","115900","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-10-27 00:00:00.000","2013-06-03 00:00:00.000"
"Terrains De Pétanque","531140003","Hardanges","53114","53640","","","Impasse De La Butte","[ 48.33579 , -0.402788]","-0.402788","48.33579","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","NULL","Non","Non","Non","Non","Non","Non","2","1","2013-06-03 00:00:00.000","2013-11-05 00:00:00.000"
"Salle Multisports","531160001","Horps","53116","53640","","","Impasse Des Forges","[ 48.39559 , -0.461304]","-0.461304","48.39559","Non","Oui","Non","950","Non","Non","Non","0","0","100","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2005-10-06 00:00:00.000","2014-10-09 00:00:00.000"
"Terrain De Football","531160002","Horps","53116","53640","","","Route De Charchigné","[ 48.39559 , -0.461304]","-0.461304","48.39559","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2014-10-09 00:00:00.000"
"Terrain De Pétanque","531160004","Horps","53116","53640","","","Impasse De La Claie","[ 48.39559 , -0.461304]","-0.461304","48.39559","Oui","Non","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2014-10-09 00:00:00.000","NULL"
"Salle Des Fêtes","531170001","Houssay","53117","53360","","","Rue D'Anjou","[ 47.913596 , -0.736952]","-0.736952","47.913596","Non","Oui","Non","125","Non","Non","Non","0","0","4","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2013-06-05 00:00:00.000"
"Terrain Des Sports","531170002","Houssay","53117","53360","Plan D'Eau","","","[ 47.913596 , -0.736952]","-0.736952","47.913596","Non","Oui","Non","15119","Non","Non","Non","0","0","15","0"," Non","Non","Non","Non","Non","Non","Oui","8","3","2005-08-02 00:00:00.000","2013-06-05 00:00:00.000"
"Circuit De Randonnée","531170003","Houssay","53117","53360","","","Place De L'Église","[ 47.913596 , -0.736952]","-0.736952","47.913596","Non","Oui","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-11-03 00:00:00.000","2013-06-05 00:00:00.000"
"Parking Par L'Accés Le Petit Four","531170004","Houssay","53117","53360","Le Petit Four","","","[ 47.913596 , -0.736952]","-0.736952","47.913596","Oui","Non","Non","NULL","Non","Non","Non","0","0","20","0"," Non","Non","Non","Non","Non","Non","Non","3","2","2009-10-20 00:00:00.000","2013-06-05 00:00:00.000"
"Parking Par L'Accès La Valette","531170005","Houssay","53117","53360","La Valette","","","[ 47.913596 , -0.736952]","-0.736952","47.913596","Oui","Non","Non","NULL","Non","Non","Non","0","0","15","0"," Non","Non","Non","Non","Non","Non","Non","2","1","2009-10-20 00:00:00.000","2013-06-05 00:00:00.000"
"Terrain De Pétanque","531190001","Huisserie","53119","53970","","","Rue Des Mines","[ 48.02345 , -0.768849]","-0.768849","48.02345","Non","Oui","Non","105","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-08-02 00:00:00.000","2015-09-25 00:00:00.000"
"Terrain De Pétanque","531190003","Huisserie","53119","53970","","","Avenue Des Saveurs","[ 48.02345 , -0.768849]","-0.768849","48.02345","Non","Oui","Non","105","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-08-02 00:00:00.000","2015-09-25 00:00:00.000"
"Village Sportif Les Chauffeaux","531190004","Huisserie","53119","53970","","","Chemin Du Fougeray","[ 48.02345 , -0.768849]","-0.768849","48.02345","Non","Oui","Non","NULL","Non","Non","Non","0","0","50","1","Complexe sportif","Non","Non","Non","Non","Non","Non","4","4","2005-08-02 00:00:00.000","2015-09-25 00:00:00.000"
"Terrain De Sports De La Villa","531190005","Huisserie","53119","53970","","","La Villa","[ 48.02345 , -0.768849]","-0.768849","48.02345","Non","Oui","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","3","3","2005-08-02 00:00:00.000","2015-09-25 00:00:00.000"
"Terrains De Boules Bretonnes","531190006","Huisserie","53119","53970","","","Rue Des Beausoleil","[ 48.02345 , -0.768849]","-0.768849","48.02345","Non","Oui","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","3","2","2005-08-02 00:00:00.000","2015-09-25 00:00:00.000"
"Complexe Sportif Des Rosiers","531190008","Huisserie","53119","53970","","","Chemin Du Fougeray","[ 48.02345 , -0.768849]","-0.768849","48.02345","Non","Oui","Non","NULL","Non","Non","Non","0","0","50","1","Complexe sportif","Non","Non","Non","Non","Non","Non","15","8","2005-10-24 00:00:00.000","2015-09-25 00:00:00.000"
"Salle Des Fêtes","531190009","Huisserie","53119","53970","","","Rue De Beausoleil","[ 48.02345 , -0.768849]","-0.768849","48.02345","Non","Oui","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","6","2","2005-10-24 00:00:00.000","2015-09-25 00:00:00.000"
"Ecluse De Cumont","531190010","Huisserie","53119","53970","Cumont","","","[ 48.02345 , -0.768849]","-0.768849","48.02345","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","4","1","2009-10-19 00:00:00.000","2015-09-25 00:00:00.000"
"Aire D'Accés Sainte Croix","531190012","Huisserie","53119","53970","","","Le Clos De Sainte Croix","[ 48.02345 , -0.768849]","-0.768849","48.02345","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2009-10-19 00:00:00.000","2015-09-25 00:00:00.000"
"Ecluse De Bonne","531190013","Huisserie","53119","53970","Bonne","","","[ 48.02345 , -0.768849]","-0.768849","48.02345","Oui","Non","Non","NULL","Non","Non","Non","0","0","10","0"," Non","Non","Non","Non","Non","Non","Non","8","3","2009-10-19 00:00:00.000","2015-09-25 00:00:00.000"
"Ecluse De Port Rhingeard","531190014","Huisserie","53119","53970","Port Rhingeard","","","[ 48.02345 , -0.768849]","-0.768849","48.02345","Non","Oui","Non","NULL","Non","Non","Non","0","0","20","0"," Non","Non","Non","Non","Non","Non","Non","2","1","2009-10-20 00:00:00.000","2015-09-25 00:00:00.000"
"Ecluse De Persigand","531190015","Huisserie","53119","53970","Persigand","","","[ 48.02345 , -0.768849]","-0.768849","48.02345","Non","Oui","Non","NULL","Non","Non","Non","0","0","5","0"," Non","Non","Non","Non","Non","Non","Non","2","1","2009-10-20 00:00:00.000","2015-09-25 00:00:00.000"
"Circuits De Randonnée","531190022","Huisserie","53119","53970","","","Place De La Mairie","[ 48.02345 , -0.768849]","-0.768849","48.02345","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","6","2","2015-09-25 00:00:00.000","NULL"
"Salle Polyvalente","531200001","Izé","53120","53160","","","Rue De La Fontaine","[ 48.229094 , -0.308348]","-0.308348","48.229094","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2013-07-18 00:00:00.000"
"Terrain De Football","531200002","Izé","53120","53160","","","Route De Sillé-Le-Guillaume","[ 48.229094 , -0.308348]","-0.308348","48.229094","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2013-07-18 00:00:00.000"
"Terrain De Sports","531200003","Izé","53120","53160","","","Rue De Bretagne","[ 48.229094 , -0.308348]","-0.308348","48.229094","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2013-07-18 00:00:00.000"
"Terrain De Jeux","531200004","Izé","53120","53160","","","Plan D'Eau","[ 48.229094 , -0.308348]","-0.308348","48.229094","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","2","1","2005-10-07 00:00:00.000","2013-07-18 00:00:00.000"
"Ecole","531210001","Javron-les-Chapelles","53121","53250","","","Ecole Primaire Publique","[ 48.417338 , -0.33814]","-0.33814","48.417338","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","2","2","2005-08-02 00:00:00.000","2014-04-25 00:00:00.000"
"Ancien Camping","531210002","Javron-les-Chapelles","53121","53250","","","Route De Madré","[ 48.417338 , -0.33814]","-0.33814","48.417338","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","4","4","2005-08-02 00:00:00.000","2014-04-25 00:00:00.000"
"Terrain Des Sports","531210003","Javron-les-Chapelles","53121","53250","","","Rue Du Stade","[ 48.417338 , -0.33814]","-0.33814","48.417338","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","4","4","2005-08-02 00:00:00.000","2014-04-25 00:00:00.000"
"Salle Polyvalente","531210004","Javron-les-Chapelles","53121","53250","","","Place Georges Morin","[ 48.417338 , -0.33814]","-0.33814","48.417338","Non","Oui","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2005-10-06 00:00:00.000","2014-04-25 00:00:00.000"
"Circuits De Randonnées","531210005","Javron-les-Chapelles","53121","53250","","","Place Jeanne D'Arc","[ 48.417338 , -0.33814]","-0.33814","48.417338","Non","Oui","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","3","3","2005-10-06 00:00:00.000","2014-04-25 00:00:00.000"
"Terrain Des Sports","531220001","Jublains","53122","53160","","","Lotissement De La Boissière","[ 48.256221 , -0.495636]","-0.495636","48.256221","Non","Oui","Non","15417","Non","Non","Non","0","0","20","0"," Non","Non","Non","Non","Non","Non","Non","4","3","2005-08-02 00:00:00.000","2013-06-20 00:00:00.000"
"Salle Polyvalente","531220002","Jublains","53122","53160","","","Rue De La Libération","[ 48.256221 , -0.495636]","-0.495636","48.256221","Non","Oui","Non","1230","Non","Non","Non","0","0","47","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-10-20 00:00:00.000","2013-06-20 00:00:00.000"
"Courts De Tennis","531230001","Juvigné","53123","53380","","","Route Du Bourgneuf","[ 48.229377 , -1.035596]","-1.035596","48.229377","Non","Oui","Non","3005","Non","Non","Non","0","0","20","0"," Non","Non","Non","Non","Non","Non","Non","2","1","2005-08-02 00:00:00.000","2014-09-12 00:00:00.000"
"Complexe Sportif","531230002","Juvigné","53123","53380","Stade Des Rochers","","Route De Saint-Hilaire","[ 48.229377 , -1.035596]","-1.035596","48.229377","Non","Oui","Non","17220","Non","Non","Non","0","0","60","2","Complexe sportif","Non","Non","Non","Non","Non","Non","3","3","2005-08-02 00:00:00.000","2014-09-12 00:00:00.000"
"Bois De Chatenay","531230003","Juvigné","53123","53380","Bois De Chatenay","","","[ 48.229377 , -1.035596]","-1.035596","48.229377","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Base de plein air et/ou de loisirs","Non","Non","Non","Non","Non","Non","2","2","2005-10-14 00:00:00.000","2014-09-12 00:00:00.000"
"La Courtraie","531230004","Juvigné","53123","53380","","","Haras Du Val D'Or","[ 48.229377 , -1.035596]","-1.035596","48.229377","Non","Oui","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","1","2013-06-06 11:39:01.483","2017-04-12 00:00:00.000"
"Plan D'Eau Communal","531230005","Juvigné","53123","53380","","","Route De La Croixille","[ 48.229377 , -1.035596]","-1.035596","48.229377","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","1","2014-09-12 00:00:00.000","NULL"
"Espace Périscolaire","531230006","Juvigné","53123","53380","","3","Rue Des Lilas","[ 48.229377 , -1.035596]","-1.035596","48.229377","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","2","2","2014-09-12 00:00:00.000","NULL"
"Terrain De Sports","531240001","Laigné","53124","53200","","","Rue De Normandie","[ 47.841187 , -0.819643]","-0.819643","47.841187","Non","Oui","Non","22686","Non","Non","Non","0","0","80","0"," Non","Non","Non","Non","Non","Non","Oui","7","7","2005-10-10 00:00:00.000","2014-06-05 00:00:00.000"
"Aire De Jeux","531240002","Laigné","53124","53200","","","Rue De La Charmille","[ 47.841187 , -0.819643]","-0.819643","47.841187","Non","Oui","Non","1100","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","3","3","2005-10-10 00:00:00.000","2014-06-05 00:00:00.000"
"Circuit De Randonnée","531240003","Laigné","53124","53200","","","Place De L'Église","[ 47.841187 , -0.819643]","-0.819643","47.841187","Non","Oui","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2005-10-10 00:00:00.000","2014-06-05 00:00:00.000"
"Terrain De Pétanque Des Sorbiers","531240004","Laigné","53124","53200","","","Allée Des Sorbiers","[ 47.841187 , -0.819643]","-0.819643","47.841187","Non","Oui","Non","16","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2009-05-13 00:00:00.000","2014-06-05 00:00:00.000"
"Terrain De Pétanque Champfleury","531240005","Laigné","53124","53200","Lotissement Champfleury","","","[ 47.841187 , -0.819643]","-0.819643","47.841187","Non","Oui","Non","16","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2009-05-13 00:00:00.000","2014-06-05 00:00:00.000"
"Terrain De Pétanque La Héronnière","531240006","Laigné","53124","53200","Lotissement De La Héronnière","","","[ 47.841187 , -0.819643]","-0.819643","47.841187","Non","Oui","Non","16","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2009-05-13 00:00:00.000","2014-06-05 00:00:00.000"
"Complexe Sportif","531250001","Landivy","53125","53190","","","Route De Louvigné Du Désert","[ 48.478693 , -1.034102]","-1.034102","48.478693","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Complexe sportif","Non","Non","Non","Non","Non","Non","3","3","2005-08-02 00:00:00.000","2014-04-17 00:00:00.000"
"Terrain De Football","531250002","Landivy","53125","53190","Les Terriers","","","[ 48.478693 , -1.034102]","-1.034102","48.478693","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","2","2","2005-10-14 00:00:00.000","2014-04-17 00:00:00.000"
"Salle Multisports, Salle Cantonale","531250003","Landivy","53125","53190","","","Route De Fougerolles","[ 48.478693 , -1.034102]","-1.034102","48.478693","Non","Oui","Non","NULL","Non","Non","Non","0","0","50","0"," Non","Non","Non","Non","Non","Non","Oui","3","3","2005-10-14 00:00:00.000","2014-04-17 00:00:00.000"
"Circuits De Randonnées","531250004","Landivy","53125","53190","","","Place De L'Église","[ 48.478693 , -1.034102]","-1.034102","48.478693","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","3","3","2005-10-14 00:00:00.000","2014-04-17 00:00:00.000"
"Salle Socio-Culturelle","531250005","Landivy","53125","53190","","","Rue Principale","[ 48.478693 , -1.034102]","-1.034102","48.478693","Non","Oui","Non","NULL","Non","Non","Non","0","0","8","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2011-08-11 00:00:00.000","2014-04-17 00:00:00.000"
"Terrain De Football","531260001","Larchamp","53126","53220","","2","Place Joseph Bouessé","[ 48.361793 , -0.999566]","-0.999566","48.361793","Non","Oui","Non","14181","Non","Non","Non","0","0","59","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2005-08-02 00:00:00.000","2014-09-15 00:00:00.000"
"Salle Omnisports","531260002","Larchamp","53126","53220","","14","Rue Des Poiriers","[ 48.361793 , -0.999566]","-0.999566","48.361793","Non","Oui","Non","21097","Non","Non","Non","0","0","30","0"," Non","Non","Non","Non","Non","Non","Non","3","3","2005-08-02 00:00:00.000","2014-09-15 00:00:00.000"
"Terrain De Pétanque","531260003","Larchamp","53126","53220","","","Le Bourg","[ 48.361793 , -0.999566]","-0.999566","48.361793","Non","Oui","Non","180","Non","Non","Non","0","0","30","2"," Non","Non","Non","Non","Non","Non","Non","3","1","2005-10-17 00:00:00.000","2014-09-15 00:00:00.000"
"Circuit De Randonnée","531260004","Larchamp","53126","53220","","","Place De L'Église","[ 48.361793 , -0.999566]","-0.999566","48.361793","Non","Oui","Non","0","Non","Oui","Non","0","0","300","2"," Non","Non","Non","Non","Non","Non","Non","1","1","2005-10-17 00:00:00.000","2014-09-15 00:00:00.000"
"Salle ""Les Lavandières""","531260005","Larchamp","53126","53220","","","Rue Du Lavoir","[ 48.361793 , -0.999566]","-0.999566","48.361793","Oui","Non","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2014-09-15 00:00:00.000","NULL"
"Complexe Sportif","531270002","Lassay-les-Châteaux","53127","53110","Chatenay","","","[ 48.437013 , -0.49732]","-0.49732","48.437013","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","8","8","2005-08-02 00:00:00.000","2015-06-26 00:00:00.000"
"Parc Municipal Chevriers","531270003","Lassay-les-Châteaux","53127","53110","","","Route De Couterne","[ 48.437013 , -0.49732]","-0.49732","48.437013","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","4","2","2005-08-02 00:00:00.000","2014-09-19 00:00:00.000"
"Terrain De La Barroche","531270004","Lassay-les-Châteaux","53127","53110","","","Le Baroche Gondoin","[ 48.437013 , -0.49732]","-0.49732","48.437013","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2005-08-02 00:00:00.000","2014-09-19 00:00:00.000"
"Parcours De Descente De Rivière","531270005","Lassay-les-Châteaux","53127","53110","Melleray La Vallée","","","[ 48.437013 , -0.49732]","-0.49732","48.437013","Oui","Non","Non","NULL","Non","Oui","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2005-10-20 00:00:00.000","2014-09-19 00:00:00.000"
"Site Du Gué De Loré","531270006","Lassay-les-Châteaux","53127","53110","Gué De Loré","","D 202","[ 48.437013 , -0.49732]","-0.49732","48.437013","Non","Oui","Non","NULL","Non","Oui","Non","0","0","30","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2009-10-27 00:00:00.000","2014-09-19 00:00:00.000"
"Terrain De Pétanque","531280002","Laubrières","53128","53540","","","Place De La Mairie","[ 47.940812 , -1.085476]","-1.085476","47.940812","Non","Oui","Non","48","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-10-12 00:00:00.000","2013-06-03 00:00:00.000"
"Salle Des Fêtes","531280004","Laubrières","53128","53540","","","Rue Du Chêne Jarry","[ 47.940812 , -1.085476]","-1.085476","47.940812","Non","Oui","Non","211","Non","Non","Non","0","0","15","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-10-12 00:00:00.000","2013-06-03 00:00:00.000"
"Circuit De Randonnée","531280005","Laubrières","53128","53540","","","Place De L'Église","[ 47.940812 , -1.085476]","-1.085476","47.940812","Non","Oui","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-10-12 00:00:00.000","2013-06-03 00:00:00.000"
"Terrain De Football","531290001","Launay-Villiers","53129","53410","","","Route De La Gannerie","[ 48.13383 , -1.0093]","-1.0093","48.13383","Non","Oui","Non","10000","Non","Non","Non","0","0","20","0"," Non","Non","Non","Non","Non","Non","Oui","1","1","2005-08-02 00:00:00.000","2013-06-13 00:00:00.000"
"Piste De Bicross","531290002","Launay-Villiers","53129","53410","","","Route De La Rabine","[ 48.13383 , -1.0093]","-1.0093","48.13383","Non","Oui","Non","2000","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Oui","2","2","2005-08-02 00:00:00.000","2013-06-13 00:00:00.000"
